Sentence Utterance,Action,Object
ระยะเวลาโปรโมชั่นที่ใช้อยู่ตั้งแต่ช่วงไหนถึงช่วงไหน,enquire,detail
ระยะเวลาโปรโมชั่นที่ใช้อยู่ตั้งแต่วันไหนถึงวันไหน ,enquire,detail
รับโบนัสโทรฟรี จาก <PHONE_NUMBER_REMOVED> ยังไง,request,information
รับซิม มาแต่ยังไม่ได้ใช้งานทำไมถึงมีใบแจ้งค่าบริการมาเรียกเก็บ,enquire,bill
รายเดือน 650 เล่น เน็ต ได้เท่าไหร่,enquire,package
รายเดือนมีการเช็คยังไง รายเดือนมีการตัดยอดยังไง,enquire,balance
รายเดือนมีส่งข้อความฉุกเฉินมั้ยครับ,enquire,promotion
รายการโทรเบอร์ <PHONE_NUMBER_REMOVED> บิลที่ออกชำระของเดือน 2 ยอดอื่นๆมีอะไรบ้าง,enquire,bill
รายละเอียดยอดเงินค้างชำระ,enquire,balance
รู้สึกว่าป้าจะเติมเข้าไปไม่เห็นมี Masseage อะไรมันเงียบกริบเลยอ่ะ,enquire,payment
รู้สึกว่าผมจะโทรออกไม่ได้,report,phone_issues
"รู้สึกว่าอินเตอร์เน็ตโดนตัดไป ของมือถือหน่ะฮ่ะ บอกว่ายังไม่ได้ชำระ 
ตอนนี้ทำงานอยู่ไปชำระไม่ได้ แต่ต้องการใช้เน็ต ผมต้องทำอย่างไรบ้างครับ",report,suspend
ล/ค สอบถามจำนวนนาทีโทรคงเหลือ,enquire,balance_minutes
ล/ค สอบถามจำนวนนาทีโทรคงเหลือ,enquire,balance_minutes
ล/คไม่สามารถใช้งานอินเตอร์เนต บน ipad mini,enquire,internet
ลค.แจ้งชำระค่าบริการเข้ามาแล้ว,Enquire,balance
ลค.สอบถามข้อมูล U/P การใช้งาน ไวไฟ,enquire,internet
ลบข้อความกวนใจอะค่ะ,cancel,service
ลืม พาสเวิด เพื่อ ล็อคอิน @ทรูไวไฟ กับ ทรูแบร็คการ์ด ไอดี ,enquire,loyalty_card
ลืมรหัสเนตค่ะ ของเบอร์นี้ <PHONE_NUMBER_REMOVED>,enquire,internet
ลืมรหัสแอปเปิ้ลไอดีค่ะ เมื้อกี้โทรมาพี่เค้าให้เข้าเวบแอปเปิ้ลแต่หาไม่เจอค่ะ,enquire,service
ลืมรหัสการสมัคร บีบี 69 บาท,request,information
ลืมรหัสผ่านเติมเงินทรูมันมี่,enquire,TrueMoney
ลืมวิธีเติมเงินจ๊ะ,enquire,payment
ลุกค้า สอบถาม การใช้งานโปรโมชั่นกับเครือง บีบี,enquire,promotion
ลูกค้า แบร็คการ์ด มีสิทธิ์เลือก โปรโมชั่น อะไรดีๆ บ้างมั้ย,enquire,loyalty_card
ลูกค้า ขอเปิด ไออา ไปที่ประเทศจีน,enquire,roaming
ลูกค้า ทรูการ์ด ได้ส่วนลด 7 % ที่โฆษณาคืออะไร,enquire,loyalty_card
ลูกค้า ทรูมูฟ สอบถาม โครงการประกันภัยจากทรูมูฟ,request,information
ลูกค้า ลงทะเบียน ทรูมันนี่ ไม่ได้ ระบบแจ้งว่าเบอร์ได้มีการสมัครไว้แล้ว,enquire,TrueMoney
ลูกค้า สอบถาม การ แฟร์ยูสเซส ต้องการให้ความเร็วเท่าเดิมตลอด,enquire,service
ลูกค้า สอบถาม ค่าบริการ ระงับ เน็ต แล้วแต่ได้รับ บิล ,enquire,bill
ลูกค้า สอบถาม ยอด คงเหลือ,enquire,balance
ลูกค้า สอบถามโปรโมชั่นที่จะใช้ร่วมกับ แอร์การ์ด,enquire,promotion
ลูกค้าเปิดตัว 3จี ทิ้งเอาไว้เค้าไม่รู้ว่ายอดเงินตอนนี้เท่าไรแล้วคือเค้าลืมปิดน่ะค่ะ,enquire,balance
ลูกค้าแจ้งเสียงเพลงรอสาย,enquire,ringtone
ลูกค้าแจ้งปัญหาเติมเงิน ทรูมันนี่ ด้วยรหัส <PHONE_NUMBER_REMOVED>892 ไม่ได้,enquire,TrueMoney
ลูกค้าแจ้งปัญหาติด แบร็คลิส ทำให้ สมัคร บริการ อื่นๆ ไม่ได้ ต้องการให้เจ้าหน้าที่แนะนำ,enquire,service
ลูกค้าแจ้งยกเลิกการใช้บริการหมายเลขโทรศัพท์,cancel,service
ลูกค้าแจ้งยกเลิกการใช้บริการหมายเลขโทรศัพท์,cancel,service
ลูกค้าโอนย้ายจาก ทรูมูฟ มาเป็น ทรูมูฟเอช ที่ ช๊อป สอบถาม โปร และ เงินคงเหลือจะตามมาหรือไม่,enquire,service
ลูกค้าใช้งาน สามจีไม่ได้,enquire,internet
ลูกค้าใช้งาน อินเตอร์เน็ต ไม่ได้,enquire,internet
ลูกค้าใช้งานโทรเข้าออกไม่ได้,report,phone_issues
ลูกค้าขอเปิดสัญญาณการใช้งานโทรศัพท์,activate,service
ลูกค้าขอเพิ่มวงเงินชั่วคราว,enquire,credit
ลูกค้าจะเอาบัตรทรูวิชั่นมาจ่าย แพคเกจทรูโนเลจ เดือนล่ะ 300 ครับ,enquire,nonTrueMove
ลูกค้าซื้อโกลด์ไลฟ์รุ่นของญาญ่าไป แต่โทรออกไม่ได้ ไม่รู้เป็นอะไรค่ะ,report,phone_issues
ลูกค้าซื้อโกลด์ไลฟ์รุ่นของญาญ่าไป แต่โทรออกไม่ได้ ไม่รู้เป็นอะไรค่ะ,report,phone_issues
ลูกค้าต้องการแจ้งเปลี่ยนโปรโมชั่น,change,package
ลูกค้าทรูมูฟน่ะครับ สอบถามค่าใช้จ่าย ซื้อซิมมาแล้วไม่ได้ใช้ ทำไมมีค่าใช้จ่ายละครับ ,enquire,bill
ลูกค้ารับ ซิม ฟรี จากตัวแทน มี ค่าบริการ,enquire,service
ลูกค้าสอบถาม 1331 โทรมาหาลูกค้าทำไม,request,officer
ลูกค้าสอบถาม เครดิต ลีมิต ,enquire,credit
ลูกค้าสอบถามเบอร์ ช๊อป,request,information
ลูกค้าสอบถามเบอร์ถูกระงับบริการเนื่องจากเกินวงเงิน ชำระค่าบริการเข้ามาแล้วยังใช้งานไม่ได้,report,suspend
ลูกค้าสอบถามเรื่อง Aircard,enquire,internet
ลูกค้าสอบถามเรื่อง ทรูการ์ด,enquire,loyalty_card
ลูกค้าสอบถามโปรโมชั่น แอร์การ์ด,enquire,promotion
ลูกค้าสอบถามโปรโมชั่น อินเตอร์เน็ต,enquire,promotion
ลูกค้าสอบถามไม่ได้รับใบแจ้งค่าบริการ,enquire,bill
ลูกค้าสอบถามการเปิดบริการ ไอดีดี ,enquire,idd
ลูกค้าสอบถามการเปิดบริการ ไอดีดี และ อัตราค่าบริการ,enquire,idd
ลูกค้าสอบถามการเปิดบริการ อินเตอร์เน็ต หลังกลับมาจากต่างประเทศ ,enquire,internet
ลูกค้าสอบถามการเพิ่มวงเงินการใช้งาน,enquire,credit
ลูกค้าสอบถามการชำระผ่านอินเตอร์เน็ต แบ้งกิ้ง ยอดเข้าเมื่อไหร่,enquire,payment
ลูกค้าสอบถามการยกเลิกบริการเบอร์มือถือ,cancel,service
ลูกค้าสอบถามการรองรับ สามจี ของตัวเครื่อง,enquire,internet
ลูกค้าสอบถามการสลับซิมใช้งานกับเครื่องโทรศัพท์อื่นๆ,report,phone_issues
ลูกค้าสอบถามช่องทางการชำระค่าบริการ,enquire,payment
ลูกค้าสอบถามยอดค่าบริการ,enquire,balance
ลูกค้าสอบถามยอดค่าบริการ,enquire,balance
ลูกค้าสอบถามยอดค่าบริการค้างชำระ,enquire,balance
ลูกค้าสอบถามรหัส พิน กับ พุค,enquire,mobile_setting
ลูกค้าสอบถามรายละเอียดโปรโมชั่น,enquire,promotion
ลูกค้าสอบถามรายละเอียดโปรโมชั่น,enquire,promotion
ลูกค้าสอบถามรายละเอียดโปรโมชั่นที่ใช้งานอยู่,enquire,detail
ลูกค้าสอบถามรายละเอียดการชำระเงินค่าบริการผ่านบัตรเครดิต,enquire,balance
ลูกค้าสอบถามรายละเอียดหน้าจอขึ้น โรมมิ่ง ลูกค้าอยู่ที่ ชายแดน ประเทศลาว,enquire,roaming
ลูกค้าสอบถามรายละเอียอยอดค่าบริการ,enquire,balance
ลูกค้าสอบถามวันครบกำหนดชำระค่าบริการ,enquire,payment
ลูกค้าสอบถามว่าตั้งแต่เปิดบริการโทรเข้าโทรออกไม่ได้,report,phone_issues
ลูกค้าสอบบถาม ทรู แบร็คการ์ด,enquire,loyalty_card
ลูกค้าสัมพันธ์ของทรูมูฟนี่เบอร์อะไรครับ,enquire,service
วงเงินเท่าไหร่ครับ ,enquire,credit
วงเงินที่ได้รับเท่าไหร่,enquire,credit
วันครบกำหนดที่ต้องจ่าย วันที่ 21 เดือนนี้ แต่ทำไมเค้าตัดสัญญาณแล้วอ่ะ,report,suspend
วันนั้นเอาซิมไปทำสามจี พอดีรอให้ข้อความเข้าแล้วใส่ซิม ทำไมยังยังใช้เบอร์ไม่ได้คะ,report,phone_issues
วันนั้นใช้ราบเดือน แต่เปลี่ยนเป๊นระบบเติมเงินแล้ว แต่จะเปลี่ยนเป๊นระบบรายเดือนอีก จะต้องทำอย่างไร ค่ะ,enquire,detail
วันนั้นไปกดผิดหน่ะค่ะ แล้วเค้าส่งเป็น sms มา อยากยกเลิกหน่ะค่ะ ,cancel,service
วันนั้นไปรับแจกซิมมาคะ ยังไม่ได้เปิดใช้บริการเลย แต่ว่ามีค่าบริการส่งมาแล้วคะ,enquire,bill
วันนั้นผมไปถามยอดค่าใช้เน็ตที่<PHONE_NUMBER_REMOVED>มาทำไมยอดเบอร์นี้มัน 1000 กว่าบาทเลย,enquire,balance
วันนั้นมีเจ้าหน้าที่โทรมาจะให้เปลี่ยนเป็นทรูมูฟ เอช หนูเลยอยากรู้โปรโมชั่นที่ใกล้เคียง,enquire,promotion
วันนี้เติมเงินแล้วมันโดนล็อคอ่ะค่ะ,report,suspend
วันนี้เติมเงินแล้วมันโดนล็อคอ่ะค่ะ,report,suspend
วันนี้ไปเปลี่ยนเป๊น TMH เป๊นระบบเติมเงิน และบอกว่าจะมี SMS ยังใช้ไม่ได้,enquire,payment
วันนี้ไปเปลี่ยนจากทรูมูฟเป็นทรูมูฟเอชวันแรกนะคะ อยากรู้ว่าโปรที่ยังอยู่จะเป็นโปรอะไรค่ะ และมีอะไรที่ยังอยู่บ้าง,enquire,package
วันนี้ไปเปลี่ยนซิมใหม่ ทำไมมันใช้งานไม่ได้ครับ,report,phone_issues
วันนี้ไปยกเลิกหมายเลขมา ใช้ไม่ได้แล้วใช่มั๊ยคะ,cancel,service
วันนี้ไปยกเลิกหมายเลขมา ใช้ไม่ได้แล้วใช่มั๊ยคะ,cancel,service
วันนี้ไปยกเลิกหมายเลขมา ใช้ไม่ได้แล้วใช่มั๊ยคะ,cancel,service
"วันนี้จะไปซื้อเครื่อง ซัมซุง กาแล็คซี่ เอส 3 ค่ะ มีที่ไหนบ้างค่ะ ที่ได้เครื่องเลยค่ะ 
และมีสีน้ำเงินไหมค่ะ",request,information
วันนี้ทางทรูถ่ายทอดสดฟุตบอลมั้ยครับ แมนยู กับ รีลมาริด,enquire,nonTrueMove
วันนี้ทำไมโทรออกไม่ได้ครับ,report,phone_issues
วันนี้ที่สมัครเน็ต สมัคร 1 วัน 49 บาทอยากทราบว่าจะอยู่ได้ 24 ชม.หรือว่าหมดแค่เที่ยงคืนนี้ค่ะ,enquire,package
วันนี้ผมไปสมัคร แพคเกจอินเตอร์เน๊ต 399 บ. มาทำไมตอนนี้เล่นไม่ได้ครับ,enquire,internet
วันนี้ผมย้ายเครือข่ายไปอ่ะครับ ย้ายเสร็จแล้วแต่ผมลืมดูซิม มันเป็นซิม small Sim เลยใส่ไม่ได้ทำไงอ่ะ,report,phone_issues
วันนี้พี่โทรมาสอบถามว่าเค้าเลือกโปรผิดให้พี่เป็น iTalk พี่โทรมาเปลี่ยนเป็น iNet เค้าเปลี่ยนโปรให้พี่หรือยัง,change,package
วันนี้พี่ชำระยอดไม่ทัน พี่อยากให้เปิดบริการไว้ก่อน พี่กลัวมันจะตัดหน่ะค่ะ,enquire,balance
วันนี้มีเจ้าหน้าที่โทร.มาให้เพิ่มโปรชั่น 100 บาท อยากจะเพิ่มเป็น 500 บาท ,enquire,package
วันนี้มีปัญหาสัญญาณหลุดตลอดเลยอ่ะค่ะ แถวสยาม ปทุมวัน ,report,phone_issues
วันนี้สัญญาณถูกระงับครับ จะขอให้เปิดสัญญาณให้ก่อน และจะชำระให้วันนี้ครับ,report,suspend
วันนี้สัญญาณถูกระงับครับ จะขอให้เปิดสัญญาณให้ก่อน และจะชำระให้วันนี้ครับ,report,suspend
วันนี้หมายเลขโทรศัพ์ท์ของผมถูกระงับหน่ะครับ ,report,suspend
วันนี้หมายเลขโทรศัพ์ท์ของผมถูกระงับหน่ะครับ ผมต้องการจะเปิดหน่ะครับ เพราะใส่กระเป๋าไว้แต่ผมไม่ทราบ,activate,service
วันวิสานะค่ะใช้ไอโฟนไม่ทราบทำไมใช้ไวฟาลที่บ้านแล้วเข้าไม่ได้ขึ้นเอเรอ,report,phone_issues
วันหมด จะเพิ่มวันใช้งาน ทำอย่างไรบ้างครับ,change,package
วัสดีค่ะ พอดีติด Internet นะคะ แล้วพอดีมันเล่นไม่ได้ สัญญานไฟ Internet มันเป็นสีแดงค่ะ,enquire,internet
วัสดีค่ะ พอดีติด อินเตอร์เน็ต นะคะ แล้วพอดีมันเล่นไม่ได้ สัญญานไฟ อินเตอร์เน็ต มันเป็นสีแดงค่ะ,enquire,internet
ว่า โปรโมชั่น ที่ซื้อ เพิ่ม ยังมีเหลืออีกกี่นาทีค่ะ,enquire,balance_minutes
"ว่าจะ สมัคร แพ็กเกจ อินเตอร์เน็ต 899 ตอนนี้ใช้อยู่ เติมเงินรอให้หัก 
แต่ไม่รู้หักวันไหน มันน่าจะเลยมาแล้ว ",enquire,balance
ว่าจะโทรมาขอใบแจ้งหนี้อ่ะค่ะ,enquire,bill
ว่าจะถามโปรจะสมัครโปรเวอทแอพมีหรือไม่ค่ะ,enquire,promotion
ว่าจะถามยอดค่าโทรค่ะ,enquire,balance
วิธีเช็คยอดคงเหลือ ยอดที่ใช้เกิน เช็คอย่างไรบ้างค่ะ,enquire,balance
วิธีโอนเงินอ่ะค่ะ,enquire,payment
วิธีการเลือก Operator ในต่างประเทศ ,enquire,roaming
วิธีการเลือกเครือข่ายผู้ให้บริการในต่างประเทศ ,enquire,roaming
วิธีการโอนเงินจากเครื่องนึงไปอีกเครื่องนึง ทำยังไงคะ,enquire,payment
วิธีการการโอนเงินทรูมันนี่ผ่านเมนู ทรูโปรดัก ทำอย่างไรคะ,enquire,TrueMoney
วิธีการจะเปิดโรมมิ่งที่จีนค่ะ อยากทราบว่าเบอร์นี้ยกเลิกการโอนสายแล้วยังคะ,enquire,roaming
วิธีการชำระค่าบริการ,enquire,payment
วิธีการปิด Data เวลาไปต่างประเทศ ,enquire,roaming
วิธีการระงับการใช้งาน Internet ในต่างประเทศ ,enquire,roaming
วิธีการสมัครโทรไปต่างประเทศ ทำอย่างไร,enquire,idd
วิภาภรณ์ไปจ่ายค่าบริการแล้วยังไม่เปิดให้บริการเลยค่ะ,activate,service
ส่ง sms ไม่ได้เลย ขึ้นล้มเหลวตลอด ต้องทำอย่างไร,report,phone_issues
ส่ง เอ็มเอ็มเอส ไม่ได้ ,report,phone_issues
"ส่ง เอสเอ็มเอส ค่าบริการใช้จ่าย ไปเท่าไหร่แล้ว ใช่ไปเท่าไหร่แล้วแต่ละวัน,
ตอนนี้ใช้แล้วไปแล้วกี่นาที่ใช้ไปเท่าไหร่แล้ว ส่ง เอสเอ็มเอส มาให้หน่อยได้มั้ยคะ",enquire,balance_minutes
ส่ง เอสเอ็มเอส ออกไม่ได้ค่ะ,report,phone_issues
ส่งไอ้ตัวรูปภาพ ไฟล์รูปภาพไม่ได้,enquire,internet
ส่งไอ้ตัวรูปภาพ ไฟล์รูปภาพไม่ได้,enquire,internet
ส่งข้อความมาเลเซีย ส่งออกไม่ได้ค่ะ,enquire,idd
สงสัย แอ๊ป มิวสิค ถ้าต้องการสมัครใช้บริการ ต้องเสียค่าใช้จ่ายอะไรบ้าง,enquire,package
สงสัย ยอด ค้าง ชำระ ค่าบริการ และ ยอด ที่แสดงบน ใบแจ้ง หนี้,enquire,balance
สงสัย ยอด ค่าบริการ เรียกเก็บซ้ำ,enquire,bill
สงสัย10 เบอร์ โทร. ติดต่อมากสุด มี เบอร์ ที่ไม่รู้จักค่ะ,enquire,detail
สงสัยใน ยอด ค้าง ชำระ,enquire,balance
สงสัยใบแจ้งหนี้ค่ะ เพิ่งยกเลิกไปค่ะ มันเป็นยอดติดลบค่ะ,enquire,bill
สงสัยครับทำไมเบอร์ผมถูกระงับครับ,report,suspend
สงสัยค่าบริการส่วนเกินเขาคิดยังไง ค่ะ,enquire,package
สงสัยว่าผมจ่ายค่าโทรโดยหักผ่านบัตรเครดิต แล้วผมอยากจะ ยกเลิกการหักผ่านบริการบัตรเครดิต,cancel,service
สงสัยว่าผมจ่ายค่าโทรโดยหักผ่านบัตรเครดิต แล้วผมอยากจะยกเลิกการหักผ่านบริการบัตรเครดิต,cancel,service
สนใจ จะซื้อ มือถือ รุ่น Sony Ericsson Xperia Arc S ,request,information
สนใจ จะสมัครใช้ ฟรี ทู เสิฟ แอนด์ ทอล์ค แพ็กเกจ เอ็ม,buy,package
สนใจ สเปเชี่ยว ทูยู ไอโฟน 4 และ 4เอส ต้องทำยังไงคะ,enquire,promotion
สนใจ สมัครแพ็คเกจ เล่นได้ไม่จำกัด มีอะไรม่างครับ,enquire,package
สนใจเกี่ยวของทรู ที่ดู HBO หรือ Cinemax ครับ,enquire,nonTrueMove
สนใจเจ้าเพ็กเกจเสริมไวไฟ จะทำยังไงบ้างคะ,enquire,promotion
สนใจแพคเกจเสริม โซเชี่ยลไม่อั่นของอินเตอร์เนตครับ,enquire,promotion
สนใจโปรโมชั่น Black berry Chat อยากจะสมัครครับ,buy,package
สนใจโปรโมชั่น Black berry Chat อยากจะสมัครครับ,buy,package
สนใจจะเปลี่ยนโปรโมชั่น ช่วยแนะนำหน่อยค่ะจะเปลี่ยนเป็นอันไหนดี,buy,package
สนใจจะเปลี่ยนโปรโมชั่น ช่วยแนะนำหน่อยค่ะจะเปลี่ยนเป็นอันไหนดี,change,package
สนใจจะเปลี่ยนโปรโมชั่น ช่วยแนะนำหน่อยค่ะจะเปลี่ยนเป็นอันไหนดี,change,package
สนใจจะสมัคร อินเตอร์เน็ต,buy,package
สนใจที่จะซื้อ ซัมซุง 7.7 ครับ อยากทราบว่าที่ทรูมูฟ ช็อบ ที่ยะลา มีจำหน่ายไหม,request,information
สนใจสมัครเป็นชั่วโมงอินเตอร์เน็ตอ่ะค่ะ,buy,package
สนใจสมัครเป็นชั่วโมงอินเตอร์เน็ตอ่ะค่ะ,buy,package
สนใจสมัครเป็นชั่วโมงอินเตอร์เน็ตอ่ะค่ะ,buy,package
สนใจสมัครเป็นชั่วโมงอินเตอร์เน็ตอ่ะค่ะ,buy,package
สม้คร internet รายวัน 1 วันค่ะ,buy,package
สม้ครแพ็คเกจเล่นอินเตอร์เน็ตหน่อยครับ,enquire,promotion
สม้ครแพ็คเกจทรูมูฟรายวันให้หน่อยค่ะ ,enquire,promotion
สมมติเราไปจ่ายค่าบริการที่โลตัส เค้าไม่ได้แจ้งชื่อในใบเสร็จ เอาไปขอจากศูนย์ได้มั้ยคะ,enquire,bill
สมมติพี่จะไปศูนย์ทรูมฟ เพื่อไปเปลี่ยน SIM พี่ไม่ไป Future แต่พี่จะไปคลองสองได้มั้ย,request,information
สมัคร “โปรเสริมเหมาโทรฟรีไม่อั้น 24 ชั่วโมง” (*777*913# และ *777*915#) ไม่ได้,enquire,promotion
สมัคร 49 บาทต่อวัน เน็ต,buy,package
สมัคร Apple ID ,garbage,garbage
สมัคร BB ไปแล้วแต่ยังใช้งานไม่ได้ค่ะ ,enquire,internet
สมัคร facebook อาทิตย์ละ 19 บาท สมัครแล้วมันเล่นไม่ได้ครับ,enquire,internet
สมัคร f-book แล้วเล่นไม่ได้ค่ะ,enquire,internet
สมัคร ICT ไวไฟ แต่ว่ารหัสผ่านไม่ผ่านค่ะ,enquire,internet
สมัคร internet ไปแล้วทำไม่ถึงเข้า internet ไม่ได้ค่ะ ,enquire,internet
สมัคร Internet ไว้ไม่แน่ใจสามารถใช้ได้หรือยัง,enquire,internet
สมัคร internet รายเดือน 899 บาทค่ะ ,buy,package
สมัคร internet รายวัน 49 บาทไว้ แต้ตอนนี้ใช้งานไม่ได้ ,enquire,internet
สมัคร internet รายวันทำอย่างไรครับ,buy,package
สมัคร net 599 บ. หน่อยครับ พอดีเติมเงินมาให้แล้วครับ,buy,package
สมัคร package f-book ผ่านมือถือต้องทำอย่างไรบ้างค่ะ ,buy,package
สมัคร Package internet แล้ว แต่ใช้งานไม่ได้,enquire,internet
สมัคร package internet ไม่มีสัญญาณ เล่นไม่ได้ เชื่อมต่อขึ้นระบบล้มเหลว Samsung Galaxy SII,enquire,internet
สมัคร Package เสริม,buy,package
สมัคร package เสริม wifi สอบถามรหัสผ่าน password ครับ,enquire,internet
สมัคร package นาทีละ 5 บาท แต่สมัครไม่ได้คะ เป็นเพราะอะไรค่ะ,buy,package
สมัคร Tue Wifi ครับ,buy,package
สมัคร WIFI 110 บาท,buy,package
สมัคร WiFi รายเดือน สมัครยังไงค่ะ,buy,package
สมัคร แพ็กเกจ รายวัน 49 บาท ตอน 5โมง แต่มันขึ้นว่าหมดอายุเที่ยงคืนวันนี้แล้ว,enquire,balance
สมัคร แพ็กเกจ อินเตอร์เน็ต ,buy,package
"สมัคร แพ้กเกจ อินเตอร์เน็ต แต่เป็นคนละตัวกับที่สมัครไว้ค่ะ สมัคร 699 รายเดือนไว้ 
แต่สมัครได้เป็น เน็ต150 ,กดอะไรไปจำไม่ได้ ",enquire,package
สมัคร แพ็กเกจ อินเตอร์เน็ต ค่ะ,buy,package
สมัคร แพ็กเกจ อินเตอร์เน็ต รายวันให้หน่อย,buy,package
สมัคร แพ็กเก็จInternet 49 บ. 1 วันค่ะ,buy,package
สมัคร แพ็กเกจเติมเงิน และบริการเสริม,buy,package
สมัคร แพ็กเกจเสริม อินเตอร์เน็ต ,buy,package
"สมัคร แพ็กเกจเสริมเน็ตคุ้ม คิดง่ายเป็นนาที สมมุติ ผมสมัคร 50บาทได้ ใช้อินเตอร์เน็ต 
7ชั่วโมง แล้วผมใช้ครบ7ชั่วโมง แล้วผมโทรไปยกเลิก แล้วสมัครใหม่จะใช้ได้ไหม ",buy,package
สมัคร แพ็คเกจ อินเตอร์เน็ต แล้ว ไม่สามารถ เปิด เว็บได้ ,enquire,internet
สมัคร แพคเกจอินเตอร์เน็ตรายเดือนไม่ได้ ,buy,package
สมัคร แพ็คเกจอินเตอร์เน็ตรายวันครับ,buy,package
สมัคร โปร บีบีเอ็ม + โซเซี่ยว ไปแล้ว สมัคร วอสแอ๊ป เสริมไม่ได้หรอ ,buy,package
สมัคร โปรเสริมมินิ สมัครยังไง,buy,package
สมัคร โปรโทรฟรีครบ 12 บาทได้รับสิทธิโทรฟรี โทรครบแล้วระบบยังคิดค่าบริการ,enquire,bill
"สมัคร โปรโมชั่นอันลิมิตอีกเบอร์หนึ่ง แพ็กเกจ899 บาท ทราบเงื่อนไขแล้ว ,สมัครให้เลยได้มั้ย",buy,package
สมัคร โปรไปแล้วได้รับเอสเอ็มเอส กลับมาว่า คุณมีโปรโมชั่นหรือแพคเกจที่ไม่สามารถสมัครร่วมกับแพคเกจนี้ได้ ,enquire,promotion
สมัคร โปรข้อความ ค่ะ,buy,package
สมัคร ไป แต่ไม่ได้รับ แบร็คการ์ด สักที,enquire,loyalty_card
สมัคร ไวไฟ 100 บาท ใช้งานยังไงค่ะ,enquire,internet
สมัคร ไวไฟ ร่วมกับเบอร์ <PHONE_NUMBER_REMOVED> ล็อคอินไวไฟไม่ได้ระบบแจ้งว่ารหัสไม่ถูกต้อง,enquire,internet
สมัคร ตัว ไวไฟ ฟรี กดยังไงค่ะ,enquire,promotion
สมัคร ทรูมูฟแอร์การ์ด 29 บาทรายวันให้หน่อยครับ,buy,package
สมัคร บริการเสริมเอสเอ็มเอส ไม่จำกัด มีหรือเปล่าครับ,enquire,service
สมัคร บีบี แล้ว ใช้งานไม่ได้,enquire,internet
สมัคร บีบี ไม่สำเร็จ มันเป็นเพราอะไรคะ,enquire,service
สมัคร บีบีเอ็น เล่นไม่ได้มาแล้ว 3 วันคะ,enquire,internet
สมัคร บีบีแบบ 3 วัน ต้องกดไรค่ะ,buy,package
สมัคร อะไรที่สามารถลุ้นรับรถบีโอได้ พอดีเห็นโฆษณา,enquire,promotion
สมัคร อินเตอร์เน็ต Package 150 บาท 30 MB ครับ,buy,package
"สมัคร อินเตอร์เน็ต แพ็กเกจ เสริมไว้ 7 ชม.50 บาทไว้ ส่งไปแล้วแต่ไม่มี แมสเซส 
ยืนยันกลับมา ไม่แน่ใจว่ามัน แอคติเวท หรือยัง",enquire,package
สมัคร อินเตอร์เน็ตหน่ะค่ะ,enquire,internet
สมัครเนต 49 บาทค่ะพี่,buy,package
สมัครเน็ต ismart แล้วเช้ามาเล่นอะไรไม่ได้เลย,enquire,internet
สมัครเน๊ต ค่ะ,buy,package
สมัครเน็ตแล้ว มันเล่นไม่ได้คะ ,enquire,internet
สมัครเน็ตแล้วใช้งานไม่ได้ค่ะ,enquire,internet
สมัครเน็ตแล้วใช้งานไม่ได้ค่ะ,enquire,internet
สมัครเน็ตให้หน่อยค่ะ,buy,package
สมัครเน็ตให้หน่อยค่ะ,buy,package
สมัครเน็ตไปแล้วอ่ะครับ แต่เล่นไม่ได้,enquire,internet
สมัครเน็ตรายวัน49บาทค่ะ,buy,package
สมัครเน็ตรายวัน49บาทค่ะ,buy,package
สมัครเน็ตรายวัน49บาทค่ะ,buy,package
สมัครเน็ตรายวันครับ,buy,package
สมัครเน็ตรายวันครับ,buy,package
สมัครเน็ตรายวันครับ,buy,package
สมัครเน็ตรายวันครับ,buy,package
สมัครเน็ตหน่อยครับพอดีเน็ตมันหมดครับ,buy,package
สมัครเน็ตหน่อยครับพอดีเน็ตมันหมดครับ,buy,package
สมัครเป็นตัวแทนเติมเงินของทรูมูฟ เมื่อสักครู่มีลูกค้าของทรูมูฟเอชมาเติม ทำรายการแล้ว มีข้อความตอบกลับมาว่าเบอร์นี้เติมได้ของทรูมูฟเท่านั้น ,enquire,nonTrueMove
สมัครเพ็กเกจ399บาท,buy,package
สมัครเพ็กเกจ399บาท,buy,package
สมัครเพกเกตอินเตอร์เน็ตไปแล้ว แต่เล่นเล่นไม่ได้อะพี่,enquire,internet
สมัครเพ็จเก็ต349บาท แต่ตอนนี้เข้าไม่ได้ ช้ามากครับ,report,phone_issues
สมัครเพ็จเก็ต349บาท แต่ตอนนี้เข้าไม่ได้ ช้ามากครับ,report,phone_issues
สมัครเฟชบุ๊คสัปดาห์ละ 49 บาทไว้ แต่เล่นไม่ได้ค่ะ,enquire,internet
สมัครเฟสบคไปแล้ว ทำไมยังเสียตังอยู่,enquire,balance
สมัครเฟสบุ๊ครายสัปดาห์ให้หน่อยค่ะ,buy,package
สมัครเล่น เอฟบี เป็นรายอาทิตย์,buy,package
สมัครเล่น บีบี ใช้ไม่ได้,enquire,mobile_setting
สมัครเสียงเพลงรอสาย เสียรายเดือนเท่าไหร่ ค่ะ,enquire,ringtone
สมัครแพ็กเก็จ 49 บาทหน่อยครับ,buy,package
สมัครแพ็กเก็จ 49 บาทหน่อยครับ,buy,package
สมัครแพ็กเก็จ wifi ครับ,buy,package
สมัครแพ็กเก็จ wifi ครับ,buy,package
สมัครแพ็กเก็จ wifi ครับ,buy,package
